Name,Skinport_URL,Steam_URL,Price,Currency,SalesThisWeek,7d_avg,24h_avg,GrowthRatio,BullishScore,LastUpdated
★ StatTrak™ Paracord Knife | Doppler (Factory New),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Doppler%20%28Factory%20New%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Doppler%20%28Factory%20New%29,410.03,USD,0,0.00,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Paracord Knife | Fade (Factory New),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Fade%20%28Factory%20New%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Fade%20%28Factory%20New%29,355.41,USD,0,0.00,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Paracord Knife | Forest DDPAT (Minimal Wear),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Forest%20DDPAT%20%28Minimal%20Wear%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Forest%20DDPAT%20%28Minimal%20Wear%29,170.04,USD,0,0.00,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Paracord Knife | Night Stripe (Battle-Scarred),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Night%20Stripe%20%28Battle-Scarred%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Night%20Stripe%20%28Battle-Scarred%29,117.26,USD,0,0.00,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Paracord Knife | Night Stripe (Field-Tested),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Night%20Stripe%20%28Field-Tested%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Night%20Stripe%20%28Field-Tested%29,145.92,USD,1,119.22,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Paracord Knife | Night Stripe (Minimal Wear),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Night%20Stripe%20%28Minimal%20Wear%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Night%20Stripe%20%28Minimal%20Wear%29,152.45,USD,0,0.00,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Paracord Knife | Rust Coat (Battle-Scarred),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Rust%20Coat%20%28Battle-Scarred%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Rust%20Coat%20%28Battle-Scarred%29,156.91,USD,0,0.00,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Paracord Knife | Safari Mesh (Field-Tested),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Safari%20Mesh%20%28Field-Tested%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Safari%20Mesh%20%28Field-Tested%29,124.29,USD,0,0.00,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Paracord Knife | Safari Mesh (Minimal Wear),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Safari%20Mesh%20%28Minimal%20Wear%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Safari%20Mesh%20%28Minimal%20Wear%29,141.69,USD,0,0.00,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Paracord Knife | Scorched (Field-Tested),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Scorched%20%28Field-Tested%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Scorched%20%28Field-Tested%29,135.69,USD,0,0.00,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Paracord Knife | Slaughter (Factory New),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Slaughter%20%28Factory%20New%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Slaughter%20%28Factory%20New%29,336.68,USD,0,0.00,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Paracord Knife | Slaughter (Minimal Wear),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Slaughter%20%28Minimal%20Wear%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Slaughter%20%28Minimal%20Wear%29,296.66,USD,2,255.02,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Paracord Knife | Stained (Battle-Scarred),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Stained%20%28Battle-Scarred%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Stained%20%28Battle-Scarred%29,212.52,USD,0,0.00,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Paracord Knife | Stained (Field-Tested),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Stained%20%28Field-Tested%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Stained%20%28Field-Tested%29,137.21,USD,1,122.02,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Paracord Knife | Stained (Minimal Wear),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Stained%20%28Minimal%20Wear%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Stained%20%28Minimal%20Wear%29,257.99,USD,0,0.00,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
